harry
said
ron
hermione
professor
lupin
back
black
one
around
like
looked
could
see
got
snape
hagrid
didnt
get
know
well
harrys
still
eyes
go
would
dont
time
though
face
going
looking
right
think
dumbledore
malfoy
saw
come
head
voice
door
away
im
sirius
toward
hes
something
look
heard
behind
last
hand
wand
ever
gryffindor
turned
room
never
scabbers
way
next
thought
told
went
good
us
fudge
dementors
neville
potter
weasley
mcgonagall
hed
front
long
made
came
ill
two
first
moment
crookshanks
aunt
pettigrew
hogwarts
want
inside
seemed
table
took
left
knew
wasnt
madam
uncle
even
suddenly
large
really
castle
dark
anything
tell
trying
wood
class
hands
felt
let
three
thing
make
great
much
youre
buckbeak
say
couldnt
ive
hear
fred
bed
cant
firebolt
open
feet
need
another
put
little
stood
gave
across
oh
trelawney
year
people
sure
cloak
school
seen
rons
yes
help
take
night
magic
vernon
gone
every
staring
end
pulled
hogsmeade
better
weve
onto
mr
percy
everyone
old
whispered
thats
george
id
bit
hall
forward
keep
hagrids
quickly
happened
without
whats
along
enough
theres
reached
set
floor
rest
hair
quidditch
done
team
new
wouldnt
must
sat
marge
mind
started
might
nothing
asked
years
day
youve
blacks
match
map
began
yet
slytherin
ter
boy
air
sight
opened
rat
stan
robes
side
azkaban
slowly
small
quite
dear
outside
tried
course
yeh
peter
window
broom
muttered
else
quietly
dementor
best
fell
arm
yelled
mouth
mean
yeah
anyone
field
wont
okay
standing
found
later
feeling
common
books
life
ministry
hard
coming
dog
minutes
snitch
wanted
wizard
find
leave
already
things
talking
believe
please
trunk
stared
cup
dead
kept
give
whole
grounds
sitting
stop
ground
snapes
called
slightly
getting
full
lost
crowd
hippogriff
empty
watching
happy
hermiones
youll
thinking
pomfrey
moved
hadnt
voldemort
second
case
watched
man
stopped
tea
havent
sit
father
turn
feel
run
cold
tower
caught
able
however
morning
dad
youd
together
move
hit
lupins
crabbe
owl
nearly
witch
house
ten
light
tiny
ask
classroom
boggart
book
top
read
work
enormous
past
raised
er
staircase
minister
telling
malfoys
listen
roared
appeared
sorry
pocket
sound
bag
sort
place
entrance
goyle
expecto
lot
held
either
always
james
shut
office
shouted
corner
shaking
close
kill
understand
ravenclaw
petunia
friends
loudly
holding
five
walked
shoulder
someone
magical
taking
making
pointing
many
parents
teacher
seized
picked
remember
rather
eye
taken
supposed
chest
watch
shes
pointed
lesson
climbed
corridor
times
parchment
word
almost
thin
theyre
tree
fast
usual
neck
idea
everything
breath
patronus
followed
moving
christmas
fat
alone
since
bus
chocolate
defense
fire
creatures
noise
lavender
werewolf
muggles
near
use
silence
extremely
silver
person
form
speak
red
cat
patronum
catch
indeed
dursleys
start
loud
trouble
threw
hundred
try
isnt
point
heart
words
dangerous
stay
walking
finally
leg
leaving
wrong
quiet
chair
invisibility
steps
arts
closed
students
except
headmaster
portrait
points
severus
chapter
foot
muggle
hedwig
finished
killed
aside
gold
mrs
hurried
train
shall
broke
stand
saying
ern
passed
running
screaming
sir
stomach
glasses
teachers
least
bad
used
letter
beneath
huge
several
burst
horrible
fact
gasped
forest
completely
chance
week
street
meant
arms
died
sign
third
name
mum
heads
theyd
desk
care
doors
wind
wall
met
white
low
listening
willow
reckon
wing
wait
honeydukes
innocent
rosmerta
lying
real
call
wizards
ear
seconds
whether
tail
hope
doesnt
cabin
visit
straight
thick
knight
worse
dyou
divination
death
theyve
hold
quick
hole
filch
dudley
talk
voices
perhaps
upon
fingers
world
ready
shot
tears
hissed
starting
ran
half
werent
mad
crystal
nobody
looks
sent
hospital
trelawneys
friend
worst
turning
cage
instead
legs
furiously
glass
brought
managed
far
whose
laughter
kind
exactly
clear
news
angry
twelve
ears
certainly
backward
beside
trees
lets
hours
miss
tonight
scared
ahead
parvati
grim
became
broomstick
given
hidden
direction
broken
lay
carrying
stuff
snapped
hiding
true
upstairs
memory
story
pulling
excellent
free
deserted
windows
wearing
disappeared
approached
continued
deep
matter
entered
rain
terrible
stone
flitwick
buckbeaks
peeves
nose
teeth
probably
stairs
family
number
cauldron
grabbed
granger
soon
green
lily
water
wings
picture
ginny
term
glanced
pair
apart
nervously
big
boys
fine
smile
abruptly
happen
arrived
unless
youknowwho
laughing
darkness
eat
strode
dean
dropped
truth
nearer
headed
vanished
roots
hooch
committee
pushed
afraid
allowed
bottle
carefully
reason
break
answer
late
seem
knees
tightly
permission
walk
today
hardly
footsteps
tight
hat
needed
shook
sank
covered
em
job
ah
throat
thank
seamus
gryffindors
waited
playing
closely
wands
wants
knows
potion
lake
lady
grass
stupid
angelina
potters
holidays
forced
essay
closer
particularly
locked
days
nasty
vernons
opposite
wizarding
birthday
worried
lord
flew
paper
present
happily
ago
nimbus
view
edge
asleep
within
none
added
mother
snarled
furious
sudden
hurt
high
rolled
sleep
classes
led
laugh
slipped
ball
fighting
bags
glittering
dormitory
spoke
