harry
said
ron
hermione
back
dumbledore
could
one
looked
like
around
would
know
got
well
professor
see
though
hagrid
get
still
think
time
eyes
looking
dont
right
wand
weasley
face
mr
going
snape
voice
look
go
didnt
room
head
come
harrys
thought
saw
door
something
im
behind
never
seemed
told
way
hand
away
potter
malfoy
turned
asked
much
last
dark
hes
two
long
sirius
want
knew
us
even
voldemort
tell
little
heard
first
good
made
people
really
fred
left
hogwarts
felt
say
mrs
great
moment
black
front
ever
toward
oh
might
yes
came
feet
take
youre
took
anything
george
table
death
ive
next
went
another
three
make
trying
sure
let
old
thats
put
large
nothing
inside
hall
open
mcgonagall
course
every
find
ginny
lupin
must
school
seen
hands
neville
found
thing
floor
cant
gave
hear
pulled
upon
stood
yeah
ill
ministry
need
magic
across
place
hair
night
without
end
wanted
couldnt
bit
gryffindor
house
air
quite
side
hed
wasnt
done
mean
keep
robes
cloak
better
happened
enough
boy
uncle
help
staring
second
along
years
give
light
walked
mind
however
suddenly
man
year
else
bed
small
many
standing
past
sat
set
hard
office
gone
began
already
wizard
yet
onto
fell
mouth
sitting
rather
whispered
top
slightly
talking
quidditch
opened
things
sir
fudge
magical
vernon
day
fire
quickly
tried
started
wizards
youve
whats
raised
reached
rons
castle
forward
coming
ground
always
everyone
students
almost
full
theyre
window
anyone
shouted
wouldnt
percy
feeling
slowly
lord
stared
together
name
able
someone
watching
stone
called
work
new
dumbledores
quietly
later
ter
everything
stop
ask
eye
dead
far
feel
father
yeh
half
kept
muttered
getting
supposed
use
beside
arm
whole
dudley
best
caught
stopped
lot
weve
outside
saying
whether
words
rest
theres
life
cold
idea
believe
class
sight
wall
since
silence
leave
read
passed
havent
crowd
aunt
word
cup
remember
holding
several
wearing
isnt
nearly
making
sort
id
hadnt
madam
taken
try
sound
wont
talk
moved
watched
alone
appeared
red
loudly
nose
morning
water
owl
arms
minutes
taking
empty
shes
shoulder
sorry
please
pointing
corridor
mother
others
slytherin
high
corner
world
hagrids
close
er
followed
hermiones
perhaps
ten
thinking
pointed
hit
shaking
usual
chair
common
closed
desk
point
given
parchment
silver
exactly
letter
dementors
four
held
used
green
book
nobody
watch
entrance
shut
yelled
dear
petunia
continued
five
heart
telling
fingers
hurried
moving
forest
returned
understand
gold
muggle
family
white
books
fast
youll
smile
hat
days
answer
added
anyway
lost
snapes
care
youd
move
either
potion
doesnt
turn
speak
deep
noise
died
minister
wrong
breath
fact
golden
shook
dad
filch
straight
kill
entered
finally
hope
team
waiting
pain
times
spoke
ran
ears
bag
lay
stairs
bad
grounds
turning
beneath
wood
least
tiny
steps
seem
dursleys
loud
stay
foot
girl
wormtail
trouble
whose
also
witch
maybe
darkness
ago
staircase
low
round
lying
dropped
real
shall
soon
thick
short
leaving
wait
finished
parents
weasleys
instead
sent
number
voldemorts
matter
arrived
heads
start
burst
legs
friends
wands
crabbe
sign
doors
dyou
ceiling
running
looks
managed
clear
says
kind
person
free
goyle
run
blood
except
stuff
invisibility
ready
glass
miss
threw
walking
chance
met
trelawney
flew
christmas
within
lets
evening
case
became
stupid
pocket
enormous
trunk
cho
listen
walls
seized
longer
neck
near
glasses
stand
vanished
okay
dean
tonight
hour
friend
completely
smiling
knows
pulling
happy
flying
fine
killed
listening
azkaban
expression
big
chest
match
glanced
return
lake
trees
indeed
angrily
angry
thin
seconds
clearly
boys
memory
lesson
seat
known
reckon
arts
probably
muggles
broken
creatures
chapter
map
broke
windows
mum
barely
none
owls
less
shot
nodded
leg
horrible
tears
meant
prophet
call
dangerous
hold
forced
giving
cauldron
suppose
pair
snapped
true
potions
tower
hundred
pale
third
different
wide
repeated
ahead
broom
charm
seamus
hurt
laugh
possible
week
sky
carrying
sit
question
starting
brought
portrait
middle
hours
quiet
malfoys
hardly
edge
summer
led
box
ones
hedwig
funny
ah
job
hidden
story
stepped
field
snitch
late
rose
closer
wizarding
points
silent
thanks
peeves
youknowwho
daily
bright
worse
roared
pushed
slytherins
picked
fat
covered
beyond
walk
wants
james
laughed
jumped
realized
happen
teachers
pomfrey
meet
spot
difficult
train
drew
bottle
laughter
hogsmeade
fear
cried
laughing
extremely
tea
gasped
needed
mad
expect
somebody
apart
breakfast
teeth
seeing
grinning
break
tree
thank
heavy
working
hell
bent
pleased
hospital
teacher
car
direction
certainly
become
piece
hasnt
truth
picture
crookshanks
worried
stomach
today
living
theyve
screamed
arent
allowed
aside
surprise
remembered
street
sharply
slipped
carefully
em
worry
six
closely
news
climbed
tightly
speaking
throat
knees
line
alive
attention
bring
ear
filled
wing
joined
catch
parvati
bet
terrible
slid
granger
lessons
happily
sleep
hole
send
lavender
backward
decided
upstairs
step
ball
note
whatever
leapt
weeks
attack
ravenclaw
furiously
gazing
werent
theyd
hiding
reason
disappeared
opposite
huge
unless
paper
wondering
headmaster
sudden
voices
