the
to
and
of
a
Harry
was
said
his
he
in
it
I
you
had
at
that
him
on
Ron
with
Hermione
as
He
for
out
up
were
they
Professor
be
them
her
Lupin
The
from
into
back
have
but
all
me
Black
been
down
this
what
very
one
who
an
there
their
about
around
looked
is
like
not
then
could
But
she
off
over
You
again
so
got
see
It
Snape
Hagrid
if
didnt
now
They
your
And
Harrys
know
by
my
eyes
no
we
still
get
do
its
would
time
just
though
face
looking
going
go
when
Dumbledore
Malfoy
more
did
are
too
saw
think
A
voice
door
away
Sirius
right
Im
toward
himself
What
only
dont
head
before
than
will
heard
through
behind
last
after
hand
wand
something
ever
turned
There
room
Gryffindor
or
look
Scabbers
here
way
went
come
which
told
us
Well
how
Fudge
next
If
Neville
thought
can
She
McGonagall
never
Weasley
front
long
came
made
other
dementors
Potter
moment
hed
Crookshanks
Pettigrew
Hogwarts
where
good
some
table
took
Its
left
seemed
because
knew
want
Madam
first
wasnt
suddenly
under
well
inside
We
large
Then
castle
Ill
felt
No
trying
hands
anything
thing
really
Aunt
Buckbeak
Wood
much
once
make
Ive
class
say
Fred
tell
Uncle
any
open
two
feet
hear
bed
couldnt
need
stood
gave
little
across
Firebolt
Trelawney
cant
few
even
hes
year
another
put
Rons
let
Vernon
sure
Oh
seen
night
help
This
has
people
As
school
staring
pulled
Hogsmeade
better
onto
three
Mr
Percy
end
take
gone
whispered
against
old
George
Id
bit
Hes
How
Hagrids
happened
every
So
His
along
quickly
forward
while
reached
enough
rest
our
great
floor
most
hair
sat
Quidditch
set
started
done
team
might
wouldnt
asked
keep
until
Marge
must
without
both
Yes
doing
Blacks
match
began
years
day
each
mind
Slytherin
ter
new
air
opened
youre
should
Stan
Azkaban
small
sight
own
rat
tried
Why
robes
window
muttered
else
outside
Peter
arm
All
yelled
mouth
yet
side
dementor
quite
fell
broom
cloak
Magic
best
field
mean
quietly
anyone
found
black
course
common
dark
hard
later
minutes
slowly
That
Snitch
wizard
find
already
things
life
dog
hall
trunk
stared
wanted
kept
whole
Ministry
standing
grounds
coming
wont
ground
feeling
Whats
dead
being
called
slightly
sitting
talking
weve
youve
Yeah
crowd
Snapes
boy
books
empty
Now
everyone
lost
dear
Pomfrey
yeh
between
hadnt
watching
believe
those
Dont
getting
case
watched
Hermiones
why
stopped
thinking
feel
hippogriff
map
moved
caught
able
leave
Dark
Voldemort
same
nothing
happy
man
THE
cold
Lupins
Crabbe
give
morning
second
full
tiny
stop
tea
father
move
hit
Come
am
classroom
top
witch
work
